country_code,year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
ITA,1964,-0.6576432031093127,-0.39703227756514603,-0.7101340727163922,0.17688007660452912,0.2789243481496868,-0.649459359560166,-0.41926705578672213,-0.2451670869693094,0.7444423768333812
ITA,1965,-0.6377747698629759,-0.39658947642559406,-0.710752927339086,0.14170316083202616,0.3607661133685663,-0.5947932042304621,-0.43070048769485936,-0.24636325952537624,0.7159132649257933
ITA,1966,-0.6007285321274048,-0.3653168422196773,-0.6372121399641609,0.011561815492916051,0.8974498643823081,-0.4781554286363521,-0.3735514301937889,-0.21730025396009056,0.6484621232124976
ITA,1967,-0.5844097343756901,-0.3538658077381764,-0.6123420927340837,-0.055740154479080414,1.1186483275008356,-0.3875751432282527,-0.3687099994608968,-0.20557786321453378,0.6043545430827794
ITA,1968,-0.542149177157156,-0.36375621777187234,-0.6547010671929488,-0.04785519010074876,0.9831336588078937,-0.36759657672286955,-0.38755601675654244,-0.23199264357531357,0.593829479160467
ITA,1969,-0.49243420787359105,-0.3708809207038118,-0.691410112003392,-0.046453091835876974,0.8906416674368168,-0.3542134320156766,-0.39504629905043753,-0.25518266499576864,0.5832316846187342
ITA,1970,-0.3600202485251544,-0.3754504919744769,-0.7542327075784746,-0.03158440257090584,0.7528049655921075,-0.40632236052304754,-0.34849521074357276,-0.3125882775715174,0.58598646663388
ITA,1971,-0.24104021007999626,-0.42905942971033406,-0.8869893093820871,0.10612384905078798,0.12051916015670677,-0.6342211870564448,-0.37372942969918593,-0.3807845326184704,0.6686964020600996
ITA,1972,-0.17434747568836695,-0.4258806579367363,-0.7549495631472047,-0.001389873032322134,0.4567034160260703,-0.5097974118232712,-0.29906721186713203,-0.3319210884351387,0.5968641342704288
ITA,1973,-0.1570657890064237,-0.42791690839640595,-0.49006101613598757,-0.15935544874566449,1.0688804815015405,-0.31187023747522946,-0.24569657861765434,-0.27552958293593893,0.4838781805062665
ITA,1974,0.12684514007322387,-0.6250235228675414,-0.16541264343763215,-0.00413682741605828,0.737401257582638,-0.44573321766186613,-0.19296990250700305,-0.3231206282749801,0.4183240862688275
ITA,1975,0.23400685906691673,-0.614630092866115,-0.6868935390126429,0.20768990829458095,-0.6680918909431838,-0.8461639765747865,-0.21594987474949773,-0.43962779462498247,0.6627414937661453
ITA,1976,0.20099328150975163,-0.6101554378790897,-0.11965627873441531,-0.031744307394005106,1.059966024314691,-0.3244278098958772,-0.14139051334388222,-0.26529101169803004,0.3117207817874132
ITA,1977,0.376812291271537,-0.69075811497476,-0.2736320168109789,0.25978911381402914,0.23308565428039937,-0.5862322861378769,-0.1669917448525577,-0.34454033069371903,0.3528858899070153
ITA,1978,0.41486909281298234,-0.6672717094092373,-0.2890913611089473,0.31983633356521973,0.39196404612580804,-0.5459379584702158,-0.16512140354270127,-0.32581766751185803,0.27530541973103284
ITA,1979,0.4634630636413469,-0.6787435533337738,-0.047690900037311176,0.20183457776269256,0.8844164192975054,-0.4089943357881207,-0.12142014876242146,-0.2710678103898535,0.17607246644221383
ITA,1980,0.5666966729090976,-0.7143132892005428,-0.14601169198200228,0.5762116665064263,0.4485673861055666,-0.5528422460974497,-0.16045636043269965,-0.31040452842562477,0.10988086358108834
ITA,1981,0.710812450051974,-0.8243017382654997,-0.1267043119833289,0.7220469144841467,-0.02616479853940664,-0.7340756064659555,-0.1661703440230862,-0.3783029016228397,0.14282646643632033
ITA,1982,0.746638085916902,-0.8216564064432605,-0.23900394067552036,0.9860327988906548,-0.023085521809997702,-0.7922405194596045,-0.20244012376303488,-0.3993432796559986,0.053214523635868545
ITA,1983,0.6801527970329025,-0.7619030978718819,-0.3905448401992904,1.2176019890333067,0.19249737382212195,-0.7134388051499975,-0.28172305602078834,-0.3844119346238911,-0.08593344649609645
ITA,1984,0.742468092891759,-0.7842690392630925,-0.1914794806509158,1.0901372149750521,0.5779420011232093,-0.6587743635703848,-0.20769475239966045,-0.37148544289784347,-0.1250302671587788
ITA,1985,0.7713490868142092,-0.7763698150343536,-0.20476994570768675,1.0234876392174266,0.4826337170432474,-0.6847289823573754,-0.1697548414574433,-0.3798206279479585,-0.0802515900459114
ITA,1986,0.7228815261386106,-0.6111767178012771,-0.5578619489488567,1.3169884843719342,0.6070124772750969,-0.663311311670507,-0.21567732523392028,-0.34608378047281035,-0.2033680688653512
ITA,1987,0.7421591758795687,-0.5490528929388356,-0.5767434548215687,1.2101334274682285,0.6652669911948498,-0.6830717881458288,-0.18343413296484865,-0.344619885020641,-0.1686028629343598
ITA,1988,0.796753307587981,-0.5264249001997888,-0.5455790855129883,1.4181596086454717,0.8924577535175025,-0.5933082284731404,-0.1741667149888152,-0.29903904921067637,-0.3424256767006862
ITA,1989,0.9350667408811014,-0.5733098781378212,-0.4666752506945609,1.527134694444407,0.7385319361007227,-0.6204154175116208,-0.13198269240765662,-0.3184159476507854,-0.4031960301021335
ITA,1990,1.005253092918017,-0.5363263069113863,-0.5506831034393841,1.6236542208627063,0.4805246363089589,-0.6967581808128903,-0.11446243837114263,-0.2813537482728556,-0.3976044001243685
ITA,1991,1.0229849346773963,-0.47181077173804004,-0.7030085162255424,1.7505798545820792,0.42297479138156946,-0.6742177823324645,-0.0809123432708064,-0.2580930501781388,-0.44529928998342716
ITA,1992,1.1372245007347184,-0.5025031897472834,-0.6683282978577704,1.8715366226220271,0.30591114170615785,-0.7241006470064167,-0.04432894262883237,-0.23972608744548238,-0.4861642692363571
ITA,1993,1.276612006590152,-0.6419781370772817,-0.609767766312341,2.0029183422466295,-0.0008563420360442542,-0.78697830995639,-0.02123910414972542,-0.3041482722117197,-0.5044815050739831
ITA,1994,1.291634519790927,-0.6382248589213637,-0.36367695547323403,1.6801843875251983,0.5109566128819779,-0.6369094201117143,0.10778001667113585,-0.18532508912358664,-0.49640697572063797
ITA,1995,1.4231156183422504,-0.7125102895198838,-0.05630334375338454,1.4712978511510253,0.5633895779100003,-0.5618202908775061,0.17246489823938432,-0.18261512083987871,-0.5124064111421521
ITA,1996,1.4564227682915043,-0.6354699585220541,-0.2837243353137547,1.5468179668393858,0.2954190128226029,-0.6697482115516543,0.1913195616672129,-0.18522597984796682,-0.4630298316096154
ITA,1997,1.5966624474943396,-0.6948273018644121,-0.1658225770116347,1.7232289959407807,0.4186582175879527,-0.5925144099445848,0.2789131955826753,-0.14426798380515574,-0.6056101848666544
ITA,1998,1.6336032678752883,-0.6739571098546782,-0.1513338245107352,1.555032033216991,0.3803299350300299,-0.5944869427426579,0.34571248022361906,-0.14374368355143377,-0.533906305737465
ITA,1999,1.6886367256652295,-0.6702486708453302,-0.18399397302857845,1.624847200852933,0.37060028365351827,-0.6213026254102617,0.377863089970063,-0.16605000275419907,-0.5555608997889588
ITA,2000,1.7783085506327094,-0.7800229300204142,0.20441505673838925,1.3138162240788018,0.7050776998519542,-0.5376160737504622,0.4747883567320468,-0.15248532328542153,-0.5317785854268073
ITA,2001,1.8719594128185366,-0.7726357760576753,0.09650825512733217,1.3318446871035299,0.3582999726027923,-0.6321818444073358,0.5471573770438658,-0.15896247995322943,-0.46413170892695393
ITA,2002,1.9341311147530542,-0.6947966051699047,-0.07857736482845841,1.3616047873853483,0.044469759923179225,-0.7050074794049435,0.6003148174218013,-0.15451900319729386,-0.36273728927996096
ITA,2003,1.977595756715746,-0.5516358146746747,-0.16865335505417092,1.3767936527052935,0.007038156259638067,-0.6255231925704837,0.637153838899176,-0.08039694191526614,-0.3320124837389886
ITA,2004,2.0873541366247577,-0.48610460991464677,-0.047352614841395,1.2454747723814783,0.2389086036111263,-0.5846340567894656,0.7528266014419878,0.014771048944358905,-0.2944302801111219
ITA,2005,2.200026941904935,-0.4975643679597096,0.044350684237286775,1.2401150418560147,0.09670276071164119,-0.577071499109588,0.7835716885383762,0.020960401553032023,-0.2246858647778905
ITA,2006,2.370868194145896,-0.5530626890044018,0.332455627209478,1.4060155095762874,0.2940857918138212,-0.5185379663354175,0.8085275318336376,0.06769304239287557,-0.2757240028211289
ITA,2007,2.487861754140142,-0.5207586586566701,0.464503202936602,1.5047787477586623,0.2358476379373868,-0.5174475645627113,0.7866535338343641,0.11015103279325043,-0.21217462665750816
ITA,2008,2.5501507864052875,-0.49481672204486193,0.3567375444286044,1.5969218983597158,-0.2196988140872894,-0.6776619672373356,0.7626603896770429,0.09678430766605567,-0.09775707425238182
ITA,2009,2.493826333159551,-0.3520883582929414,-0.32186875963767625,1.9510844169571422,-0.8941789117296217,-0.9203676180195444,0.7399444554518778,-0.00450387740304787,0.125937740696062
ITA,2010,2.514029320653582,-0.39525511051532913,0.33576904092520465,1.6318459475269735,0.3763419988884488,-0.5463887700204981,0.790645780560335,0.09130032744736934,0.04619122754175947
ITA,2011,2.6052976620462944,-0.45814793064655424,0.4853450093288223,1.6516167061619687,0.16665064947697414,-0.6513695091655806,0.777994387686391,0.11086912466036121,0.08672957348283733
ITA,2012,2.686740878608921,-0.5879734885857478,0.3531595292770248,1.9745207347166072,-0.4770295446989285,-0.8599904777689144,0.6925944820033005,0.001319831733035382,0.09318277242861979
ITA,2013,2.6371250035931095,-0.5951445218108233,0.3285807104627943,1.9371257003149305,-0.21907689305836597,-0.9001978574646092,0.6768831406081142,0.04661807130465256,0.03602069035665271
ITA,2014,2.6016819551294588,-0.6157031300377637,0.40211472146970184,1.8010216652087836,0.14684883161991696,-0.9017084768259911,0.6820420225535951,0.11165302177177633,0.010824807100105985
ITA,2015,2.5475439239325235,-0.69723676534553,0.4634527280763601,1.7240611066769946,0.26897900858082757,-0.8061256963424717,0.6616184697228048,0.060731061677363696,-0.02576942722344593
ITA,2016,2.5817030281218285,-0.6900963767002052,0.39962312692599933,1.7351705314643573,0.4092063482694558,-0.8380487139283831,0.6866624818658956,0.07956074249613004,-0.08892442184428401
ITA,2017,2.607955740601909,-0.7858852426420949,0.5789125219733696,1.601259547567241,0.4172609403868274,-0.8355358882045635,0.702838596861119,0.13711932974701357,-0.15968614642833986
