country_code,year,SP.URB.TOTL.IN.ZS,SP.RUR.TOTL.ZS,SP.DYN.LE00.MA.IN,SP.DYN.LE00.IN,NY.GDP.MKTP.CD,NE.IMP.GNFS.ZS,NE.EXP.GNFS.ZS,NY.GDP.MKTP.KD.ZG,SH.DYN.MORT,EG.USE.PCAP.KG.OE,EN.ATM.GHGT.KT.CE,NV.AGR.TOTL.ZS,FS.AST.PRVT.GD.ZS,SE.TER.ENRR,GC.TAX.TOTL.GD.ZS
AUS,1971,84.16,15.84,67.8,71.0682926829268,45149512823.3845,12.9334722428933,12.6581336508409,4.00368353437398,21.0,3989.6297441447,314446.149,,23.6496006350151,17.0943508148193,
AUS,1972,84.32,15.68,68.16,71.4575609756098,51967289719.6262,11.9705961694092,12.8225878967719,3.91252352957896,20.3,4035.20634438795,355430.771,,24.7043880945958,18.3830108642578,17.8670982825285
AUS,1973,84.478,15.522,68.52,71.8468292682927,63737347853.9398,11.0177498140591,14.1516071320884,2.61372315111119,19.4,4264.27122571001,333243.563,,28.407140129053,19.5901298522949,17.0442438740025
AUS,1974,84.636,15.364,68.88,72.2360975609756,88831245394.252,13.2134324396071,13.14872577648,4.10336216123119,18.4,4294.16162646652,355842.865,,27.898526679055,21.8173503875732,18.0846827714362
AUS,1975,84.792,15.208,69.24,72.6253658536586,97171924074.8327,14.7317978049158,14.2778847369974,1.34991678730046,17.3,4345.87144605197,377568.654,,27.3755954974072,23.2816009521484,19.9019098076139
AUS,1976,84.947,15.053,69.6,73.0146341463415,104921215177.108,13.3803493764567,13.519715500877,2.58769620026857,16.2,4405.70298581914,407572.606,,27.8901650767715,24.0753002166748,20.328231251652
AUS,1977,85.1,14.9,69.92,73.3443902439024,110201881165.405,14.6501654974291,14.019401711181,3.59742756746006,15.2,4671.19567361894,414927.113,,27.4198014030851,24.4374294281006,20.5622749130878
AUS,1978,85.252,14.748,70.24,73.6741463414634,118338596886.984,14.5903029956443,13.6247962714094,0.896879845528218,14.4,4629.61847053907,377956.134,,28.084903592295,24.7808399200439,20.4329053841535
AUS,1979,85.403,14.597,70.56,74.0039024390244,134712029989.776,15.3566579810603,14.3084823800248,4.04348669176025,13.6,4683.85317624363,412123.022,,28.6913405347972,25.0035190582275,19.7972796343613
AUS,1980,85.552,14.448,70.88,74.3336585365854,149776044568.245,15.9086175087782,16.4353091709814,3.03424587145736,13.0,4737.4820310373,433837.438,,27.8803636255431,25.1546897888184,20.4412902457894
AUS,1981,85.7,14.3,71.2,74.6634146341463,176642284918.147,16.7402821048757,14.9084407987275,3.33776813804133,12.6,4694.67642526964,387882.439,,27.9646645896597,25.5852298736572,21.493078834247
AUS,1982,85.67,14.33,71.5,74.9048780487805,193770274743.462,16.8295238420627,13.5376450624665,3.32844193385323,12.2,4817.4895243115,428739.962,,27.0840024143861,25.6408805847168,21.6161581650666
AUS,1983,85.641,14.359,71.8,75.1463414634146,177030416471.689,15.6235296605465,13.591355329171,-2.22047012220898,11.9,4555.14620339645,386673.558,,28.8264246102444,26.3624591827393,21.7443710779934
AUS,1984,85.611,14.389,72.1,75.3878048780488,193242166274.226,15.005295766199,13.5768448481099,4.58129721922676,11.6,4651.71242923314,398135.519,,30.3583312243999,27.004810333252,21.0434065367564
AUS,1985,85.582,14.418,72.4,75.6292682926829,180235483623.533,17.3053925344614,15.2562209275108,5.24932960928453,11.3,4602.9565300165,456717.644,,37.1068165278564,27.9107303619385,22.5434411613249
AUS,1986,85.552,14.448,72.7,75.8707317073171,182036933407.946,18.0802336304949,15.0088379956963,4.03752885052448,11.0,4623.73907506368,434735.105,,40.3889486627728,29.5150508880615,22.6098985551798
AUS,1987,85.522,14.478,73.02,76.1517073170732,189061672842.774,17.0921563823457,15.4926323894858,2.55117045885154,10.6,4772.3704646487,412842.803,,42.8721430821462,29.6845893859863,23.2644989674845
AUS,1988,85.493,14.507,73.34,76.4326829268293,235658469150.175,16.6476786800416,15.98695849504,5.74338158549649,10.2,4702.84160607784,434706.164,,46.813260098367,31.4995708465576,23.1786198358079
AUS,1989,85.463,14.537,73.66,76.7136585365854,299272046250.305,16.9817378433677,15.1481759609943,3.86117351615441,9.7,5001.10310210296,460970.008,,59.3740477123329,32.6539611816406,22.6897501197162
AUS,1990,85.433,14.567,73.98,76.9946341463415,310781069642.17,17.0734908136483,15.1463378398455,3.57099814702293,9.2,5061.5084587843,503820.0,4.20913187738325,60.6821670876046,35.3595504760742,22.4766008022582
AUS,1991,85.403,14.597,74.3,77.2756097560976,325315909269.288,16.193830898585,16.061136108665,-0.397817699614905,8.7,4927.78158990974,503740.0,3.18226232553651,60.2374515362438,38.3134689331055,22.3740304232964
AUS,1992,85.285,14.715,74.5,77.3780487804878,324884257479.043,16.4186276621683,16.6910878761123,0.41218470060933,8.2,4959.21491854816,505910.0,3.05340078163651,61.9821217809571,39.7008399963379,20.6807007742983
AUS,1993,85.157,14.843,75.0,77.8780487804878,311549325463.744,17.8934453773932,17.5725140224223,4.02990646050326,7.7,5147.53665025188,505590.0,3.26366664636883,63.3988655764473,65.5642166137695,20.0179523091045
AUS,1994,85.028,14.972,75.0,77.8780487804878,322213766862.677,18.5206973548609,18.0051958090003,3.98389015293171,7.3,5089.788966676,508670.0,3.34914977670903,66.8918704912401,66.9792175292969,20.0444434902095
AUS,1995,84.898,15.102,75.0,77.8292682926829,367216364716.365,19.8846667893329,17.9168848710084,3.837755292963,7.0,5129.22366091191,516760.0,3.02163306488302,69.9541905141265,70.6885681152344,21.2143147440084
AUS,1996,84.767,15.233,75.2,78.0780487804878,400302731411.229,19.3931375912388,18.9391943502546,3.87858529337824,6.8,5393.58063459123,514520.0,3.39215957573839,71.682422426881,75.6477813720703,21.9291545283444
AUS,1997,84.636,15.364,75.7,78.4804878048781,434568007512.913,18.9000001800858,19.1748110450196,3.96653766174953,6.6,5469.59998919911,522740.0,3.24334448064168,75.5050974714159,80.9066467285156,22.4309416143968
AUS,1998,84.503,15.497,75.9,78.6317073170732,398899138574.239,20.4748536380903,19.5955769201339,4.57668875918884,6.4,5553.65346587569,550570.0,3.03895445819312,79.2644229778421,,22.2720061486455
AUS,1999,84.37,15.63,76.2,78.9317073170732,388608221581.652,20.790755650731,18.3438927598724,5.07359909510564,6.3,5610.34471097961,583610.0,3.06140055245501,84.2802905145765,,22.4752112825954
AUS,2000,84.235,15.765,76.6,79.2341463414634,415222633925.768,21.5943517368742,19.4346594389549,3.93313694470206,6.2,5644.06495066047,608210.0,3.11906818178381,87.7357594769186,,23.0768998077618
AUS,2001,84.1,15.9,77.0,79.6341463414634,378376086723.194,22.1394876508015,22.2257207126709,1.93085759225417,6.1,5446.97321382579,634100.0,3.50335996913764,88.6518269211677,,24.9402183625363
AUS,2002,84.222,15.778,77.4,79.9365853658537,394648911678.527,20.7826816731256,20.77459420115,4.0014040616517,6.0,5569.64099249926,627080.0,3.94801213916285,91.482919963263,,23.6166114022748
AUS,2003,84.343,15.657,77.8,80.2390243902439,466488060570.763,21.2010587295246,19.0950858969237,2.98593432165801,5.9,5568.76494063954,546710.0,2.88853375948861,99.4005681961384,,24.365136835797
AUS,2004,84.463,15.537,78.1,80.490243902439,612490396927.017,19.9174485708545,17.2032857977397,4.05545196750958,5.8,5598.0881783042,605380.0,3.06211449191035,102.975019675354,,24.3441934685885
AUS,2005,84.582,15.418,78.5,80.8414634146341,693407758231.845,21.0060810671628,18.2651015697588,3.20426979287869,5.7,5564.08716927844,568380.0,2.88333002663787,108.794102148524,,24.8369690720979
AUS,2006,84.7,15.3,78.7,81.0414634146342,746054207846.661,21.7103057916763,19.8939212990376,2.79453702446311,5.6,5709.34466781654,611700.0,2.72673444195779,113.96120661252,,24.5893841012414
AUS,2007,84.822,15.178,79.0,81.2926829268293,853099630996.31,21.8478307885289,20.2036088949588,3.84423031556788,5.4,5868.34709712113,614990.0,2.20110013592946,120.781309516204,,24.0931056982697
AUS,2008,84.943,15.057,79.2,81.3951219512195,1053995523724.26,22.7086594643905,20.1616732338809,3.65795352556486,5.2,5964.66577565273,587260.0,2.33863042368512,121.952853880525,,24.2553169802763
AUS,2009,85.063,14.937,79.3,81.5439024390244,927805183330.879,22.7930912712426,23.0048129381936,1.93699392030038,5.0,5862.55194383105,601070.0,2.29172039725587,122.633448527858,,22.0436537065179
AUS,2010,85.182,14.818,79.5,81.6951219512195,1146138465603.81,20.8396639745591,19.810007754315,2.067417127684,4.8,5793.11602573559,571220.0,2.19756826525444,125.495658263693,,20.5269552747402
AUS,2011,85.3,14.7,79.7,81.8951219512195,1396649906339.35,20.4703160052576,21.4364170540906,2.46275631162725,4.5,5745.23218954465,673130.0,2.27654236627696,122.334841433773,,20.3503122216089
AUS,2012,85.402,14.598,79.9,82.0463414634146,1546151783872.96,21.7295182659334,21.4808284059974,3.91816287094112,4.3,5575.28709327857,670930.0,2.25474804896169,121.283723868631,,21.1170969777079
AUS,2013,85.502,14.498,80.1,82.1487804878049,1576184467015.49,21.2522627313421,19.9561676149363,2.58489770154893,4.1,5468.39136879598,581890.0,2.27890649460036,124.782324039651,,21.9581112368817
AUS,2014,85.602,14.398,80.3,82.3,1467483705131.74,21.4670353387174,21.0394549992806,2.5331146653882,4.0,5334.68167873774,593500.0,2.21622365548348,128.506815788899,,21.9088787823813
AUS,2015,85.701,14.299,80.4,82.4,1351693984524.5,21.5095275701541,19.984845509759,2.19264742646037,3.9,5483.81640154023,594580.0,2.37264411384703,136.317380046235,118.610862731934,21.865491896164
AUS,2016,85.8,14.2,80.4,82.4487804878049,1208846993739.99,21.5265843486597,19.2510570754507,2.7706521973025,3.8,,573390.0,2.40312299408568,142.423168295968,120.965713500977,22.2344726424899
AUS,2017,85.904,14.096,80.5,82.5,1329188475752.32,20.6129696868594,21.2057506620343,2.30061062359425,3.7,,619790.0,2.70442489124027,140.292665440877,113.142158508301,22.0474576578938
AUS,2018,86.012,13.988,80.7,82.7487804878049,1432881172002.17,21.4407430648721,21.8219046176483,2.94928577160958,3.7,,615380.0,2.45834595577098,139.525908705372,107.808052062988,23.1146946812654
AUS,2019,86.124,13.876,80.9,82.9,1396567014733.23,21.5994940287195,24.1109654423664,2.16095629535999,3.6,,,2.12159698465698,135.840754741125,,23.3336747444538
AUS,2020,86.241,13.759,,,1330900925056.98,20.0626259797586,23.9152267660839,-0.284839297785609,,,,1.89796911311257,141.959404743324,,
BRA,1960,46.139,53.861,52.26,54.143,15165569912.5199,7.11728554327239,7.05904647646368,,168.9,,,17.6669984863859,20.1828155551676,,
BRA,1961,47.122,52.878,52.678,54.634,15236854859.469,7.33945907077904,7.27940794590105,10.275911554301,164.1,,,17.0953443122149,19.2999932651065,,
BRA,1962,48.099,51.901,53.097,55.13,19926293839.0163,5.18897394767796,3.86876017137378,5.21605942017898,159.7,,,15.5345971129842,16.4349863508345,,
