country_code,year,SP.URB.TOTL.IN.ZS,SP.RUR.TOTL.ZS,SP.DYN.LE00.MA.IN,SP.DYN.LE00.IN,NY.GDP.MKTP.CD,NE.IMP.GNFS.ZS,NE.EXP.GNFS.ZS,NY.GDP.MKTP.KD.ZG,SH.DYN.MORT,EG.USE.PCAP.KG.OE,EN.ATM.GHGT.KT.CE,NV.AGR.TOTL.ZS,FS.AST.PRVT.GD.ZS,SE.TER.ENRR,GC.TAX.TOTL.GD.ZS,GC.XPN.TOTL.GD.ZS,IT.CEL.SETS.P2,SL.TLF.TOTL.FE.ZS,SL.UEM.TOTL.MA.ZS,IT.NET.USER.ZS,EG.FEC.RNEW.ZS,EG.ELC.ACCS.ZS,DT.ODA.ODAT.CD,DT.ODA.ODAT.GN.ZS,SE.XPD.TOTL.GD.ZS,SG.GEN.PARL.ZS,DT.DOD.DECT.CD,DT.DOD.DECT.GN.ZS,GB.XPD.RSDV.GD.ZS,SI.POV.GINI
KOR,1972,43.692,56.308,59.4,63.009756097561,10862327878.032,21.442463153455,16.599104904281,7.21436072179991,53.3,551.258116376802,91340.252,26.5060805586147,34.2805258101554,6.97745990753174,11.1535487499121,15.4884363943108,0.017181584,39.5718903108898,2.68,0.023265092,1.63194686718062,99.8828430175781,365429992.675781,3.3568807533876,3.22075009346008,3.01003344481605,,,2.26089,31.7
KOR,1973,45.131,54.869,59.7,63.4073170731707,13876531432.0145,27.6536464458235,23.9248819495956,14.8983226573489,50.4,632.250968964772,107014.039,24.6069509525446,34.3726593454309,7.15065002441406,10.4752772601451,11.3075099958388,0.017181584,39.5718903108898,2.68,0.023265092,1.63194686718062,99.8828430175781,282000000.0,2.0302246642688,2.68021988868713,3.01003344481605,,,2.26089,31.7
KOR,1974,46.579,53.421,60.0,63.8048780487805,19544094741.2663,33.3004427577483,22.2302340290955,9.51183543440047,47.9,675.274108644272,112906.55,24.1720430107527,36.2043010752688,7.35910987854004,11.5749525616698,12.35926628716,0.017181584,39.5718903108898,2.68,0.023265092,1.63194686718062,99.8828430175781,252039993.286133,1.28498016089498,2.384734988212585,3.01003344481605,,,2.26089,31.7
KOR,1975,48.033,51.967,60.3,64.1536585365854,21784297520.6612,31.3289578512083,22.6526044235366,7.8399333381073,45.7,693.338047900093,120964.237,24.4859440798209,33.7002541826321,7.56309986114502,13.2118062141963,13.8377783679199,0.017181584,39.5718903108898,2.68,0.023265092,1.63194686718062,99.8828430175781,247479995.727539,1.14531346329833,2.08925008773804,3.01003344481605,,,2.26089,31.7
KOR,1976,49.719,50.281,60.6,64.5024390243902,29902479338.843,28.3490409595932,25.5313415510475,13.2214478025627,43.8,758.243819417609,130213.924,23.0466806699464,30.768130562158,8.30366039276123,14.4616107456746,14.5652534409375,0.017181584,39.5718903108898,2.68,0.023265092,1.63194686718062,99.8828430175781,216139999.389648,0.726031909225604,2.75457000732422,3.01003344481605,,,2.26089,31.7
KOR,1977,51.476,48.524,60.9,64.9,38446487603.3058,27.8765698808583,26.0488711905031,12.3359821950185,41.9,866.020804522271,144910.923,21.7899731837211,30.0846942997942,8.56017971038818,14.1336299783428,13.6230996179083,0.017181584,39.5718903108898,2.68,0.023265092,1.63194686718062,99.8828430175781,237179992.675781,0.618678173717336,2.42641997337341,3.01003344481605,,,2.26089,31.7
KOR,1978,53.233,46.767,61.1,65.1975609756098,51972107438.0165,29.2218092190264,24.9959251823729,10.9529856954848,40.0,935.264924017124,155967.54,19.9169134747262,32.8231131606671,9.20726013183594,14.5540559343259,13.599952294818,0.017181584,39.5718903108898,2.68,0.023265092,1.63194686718062,99.8828430175781,164210006.713867,0.315043675550537,2.722625017166135,3.01003344481605,,,2.26089,31.7
KOR,1979,54.981,45.019,61.4,65.5463414634146,66946900826.4463,30.8897825154387,23.654802282554,8.67122670709715,38.0,1063.67794458371,172533.275,18.5363384698,35.4469898741756,10.3523902893066,14.7458668057514,14.6501945849523,0.017181584,39.5718903108898,2.68,0.023265092,1.63194686718062,99.8828430175781,133860000.610352,0.200298153074765,3.01883006095886,3.01003344481605,,,2.26089,31.7
KOR,1980,56.72,43.28,61.9,66.0463414634146,65398646757.6511,37.0916624501889,28.4391983909417,-1.64568764044438,35.8,1082.19259504076,175229.771,14.2693158733395,40.372409383488,12.4360103607178,14.6632733460709,15.0106607661151,0.017181584,39.5718903108898,2.68,0.023265092,1.63194686718062,99.8828430175781,138710006.713867,0.214047036801015,3.45873999595642,3.01003344481605,,,2.26089,31.7
KOR,1981,58.407,41.593,62.4,66.5463414634146,72933350953.7025,37.1914120854121,29.9399232531639,7.24617628510612,33.5,1046.41413344253,181587.53,15.0254279260235,40.7866953359989,14.8661804199219,14.6527668724255,14.8802692984469,0.017181584,39.5718903108898,2.68,0.023265092,1.63194686718062,99.8828430175781,330390014.648438,0.459260530435013,2.89862990379334,3.01003344481605,,,2.26089,31.7
KOR,1982,60.061,39.939,62.9,67.0951219512195,78358866334.7376,32.8610879333038,27.3678312205647,8.33807808691536,31.1,1095.50331543592,180766.923,14.0032747623353,44.2295056784658,19.0697994232178,14.696281503877,15.9147165305674,0.017181584,39.5718903108898,2.68,0.023265092,1.63194686718062,99.8828430175781,33779998.7792969,0.0435116814124245,6.32966995239258,3.01003344481605,,,2.26089,31.7
